Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2018-06-09,0.13,99,London N. Kensington,-0.213492,51.52105
2018-06-10,0.12,99,London N. Kensington,-0.213492,51.52105
2018-06-11,0.12,99,London N. Kensington,-0.213492,51.52105
2018-06-12,0.099,99,London N. Kensington,-0.213492,51.52105
2018-06-13,0.12,99,London N. Kensington,-0.213492,51.52105
2018-06-14,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-15,0.13,99,London N. Kensington,-0.213492,51.52105
2018-06-16,0.1,99,London N. Kensington,-0.213492,51.52105
2018-06-17,0.1,99,London N. Kensington,-0.213492,51.52105
2018-06-18,0.1,99,London N. Kensington,-0.213492,51.52105
2018-06-19,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-20,0.15,99,London N. Kensington,-0.213492,51.52105
2018-06-21,0.097,99,London N. Kensington,-0.213492,51.52105
2018-06-22,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-23,0.15,99,London N. Kensington,-0.213492,51.52105
2018-06-24,0.12,99,London N. Kensington,-0.213492,51.52105
2018-06-25,0.16,99,London N. Kensington,-0.213492,51.52105
2018-06-26,0.14,99,London N. Kensington,-0.213492,51.52105
2018-06-27,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-28,0.13,99,London N. Kensington,-0.213492,51.52105
2018-06-29,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-30,0.1,99,London N. Kensington,-0.213492,51.52105
2018-07-01,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-02,0.12,99,London N. Kensington,-0.213492,51.52105
2018-07-03,0.12,99,London N. Kensington,-0.213492,51.52105
2018-07-04,0.16,99,London N. Kensington,-0.213492,51.52105
2018-07-05,0.18,99,London N. Kensington,-0.213492,51.52105
2018-07-06,0.17,99,London N. Kensington,-0.213492,51.52105
2018-07-07,0.16,99,London N. Kensington,-0.213492,51.52105
2018-07-08,0.14,99,London N. Kensington,-0.213492,51.52105
2018-07-09,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-10,0.079,99,London N. Kensington,-0.213492,51.52105
2018-07-11,0.11,99,London N. Kensington,-0.213492,51.52105
2018-07-12,0.11,99,London N. Kensington,-0.213492,51.52105
2018-07-13,0.12,99,London N. Kensington,-0.213492,51.52105
2018-07-14,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-15,0.14,99,London N. Kensington,-0.213492,51.52105
2018-07-16,0.14,99,London N. Kensington,-0.213492,51.52105
2018-07-17,0.11,99,London N. Kensington,-0.213492,51.52105
2018-07-18,0.11,99,London N. Kensington,-0.213492,51.52105
2018-07-19,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-20,0.16,99,London N. Kensington,-0.213492,51.52105
2018-07-21,0.1,99,London N. Kensington,-0.213492,51.52105
2018-07-22,0.14,99,London N. Kensington,-0.213492,51.52105
2018-07-23,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-24,0.09,99,London N. Kensington,-0.213492,51.52105
2018-07-25,0.11,99,London N. Kensington,-0.213492,51.52105
2018-07-26,0.16,99,London N. Kensington,-0.213492,51.52105
2018-07-27,0.12,99,London N. Kensington,-0.213492,51.52105
2018-07-28,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-29,0.13,99,London N. Kensington,-0.213492,51.52105
2018-07-30,0.099,99,London N. Kensington,-0.213492,51.52105
2018-07-31,0.1,99,London N. Kensington,-0.213492,51.52105
2018-08-01,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-02,0.14,99,London N. Kensington,-0.213492,51.52105
2018-08-03,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-04,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-05,0.14,99,London N. Kensington,-0.213492,51.52105
2018-08-06,0.14,99,London N. Kensington,-0.213492,51.52105
2018-08-07,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-08,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-09,0.15,99,London N. Kensington,-0.213492,51.52105
2018-08-10,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-11,0.17,99,London N. Kensington,-0.213492,51.52105
2018-08-12,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-13,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-14,0.099,99,London N. Kensington,-0.213492,51.52105
2018-08-15,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-16,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-17,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-18,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-19,0.098,99,London N. Kensington,-0.213492,51.52105
2018-08-20,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-21,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-22,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-23,0.11,99,London N. Kensington,-0.213492,51.52105
2018-08-24,0.12,99,London N. Kensington,-0.213492,51.52105
2018-08-25,0.15,99,London N. Kensington,-0.213492,51.52105
2018-08-26,0.18,99,London N. Kensington,-0.213492,51.52105
2018-08-27,0.12,99,London N. Kensington,-0.213492,51.52105
